BearID,year,sex,birth,age,reprostatus.represent,C13.suess,N15,weight,headcirc,Cmonth
W0001,1999,M,1997,3,SolitaryM,-23.082,5.02,94,57,4
W0002,1999,M,1994,6,SolitaryM,-23.162,5.13,130,67,4
W0002,2000,M,1994,7,SolitaryM,-22.89,5.47,148,74,4
W0003,1999,M,1997,3,SolitaryM,-23.042,4.56,63,48.5,4
W0004,1999,F,1994,6,WithCubs,-22.762,4.62,95,59,4
W0004,2001,F,1994,8,WithCubs,-22.838,4.27,86,60,4
W0004,2003,F,1994,10,WithCubs,-22.954,4.02,95,62,4
W0004,2005,F,1994,12,WithCubs,-23.04,4.47,95,64,5
W0004,2007,F,1994,14,WithCubs,-23.076,4.24,88,65,4
W0004,2008,F,1994,15,SolitaryF,-22.874,4.06,96,63,4
W0005,1999,M,1999,1,WithMother,-22.932,5.44,45,46,4
W0006,1999,M,1999,1,WithMother,-23.222,4.73,32,40,4
W0007,1999,M,1999,1,WithMother,-23.212,4.76,38,43,4
W0008,1999,F,1999,1,WithMother,-23.392,4.65,32,40,4
W0009,1999,M,1999,1,WithMother,-23.182,5.83,37,39.5,4
W0010,1999,F,1999,1,WithMother,-23.262,5.23,30,38.5,4
W0010,2001,F,1999,3,SolitaryF,-22.328,4.36,75,51,7
W0010,2002,F,1999,4,SolitaryF,-22.496,4.18,117,57,9
W0010,2005,F,1999,7,WithCubs,-23.66,4.37,83,60,4
W0010,2007,F,1999,9,WithCubs,-22.766,3.7,81,58,4
W0011,1999,M,1999,1,WithMother,-23.272,5.21,32,39,4
W0012,1999,M,1991,9,SolitaryM,-23.082,5.64,233,77,4
W0012,2000,M,1991,10,SolitaryM,-23.23,5.04,212,77,4
W0012,2001,M,1991,11,SolitaryM,-23.478,5.9,195,76,6
W0012,2003,M,1991,13,SolitaryM,-23.574,5.85,230,77,4
W0012,2005,M,1991,15,SolitaryM,-23.44,6.36,224,80,4
W0012,2006,M,1991,16,SolitaryM,-23.278,5.92,204,80,4
W0012,2008,M,1991,18,SolitaryM,-23.214,6.56,NA,82,5
W0013,1999,M,1995,5,SolitaryM,-23.522,6.31,173,65,4
W0013,2000,M,1995,6,SolitaryM,-23.27,5.8,167,68.5,4
W0013,2001,M,1995,7,SolitaryM,-23.368,5.98,208,71,4
W0013,2007,M,1995,13,SolitaryM,-22.696,5.53,215,77,4
W0013,2008,M,1995,14,SolitaryM,-22.814,5.36,228,72,4
W0013,2009,M,1995,15,SolitaryM,-23.282,5.76,188,76,4
W0013,2010,M,1995,16,SolitaryM,-22.73,6.46,225,76,4
W0014,1999,M,1999,1,WithMother,-23.132,5.84,42,45,4
W0014,2000,M,1999,2,SolitaryM,-23.31,5.14,68,54,4
W0015,1999,F,1999,1,WithMother,-23.052,5.72,36,41.5,4
W0015,2002,F,1999,4,SolitaryF,-22.666,4.76,138,NA,9
W0015,2002,F,1999,4,SolitaryF,-22.786,4.79,138,NA,9
W0016,1999,M,1994,6,SolitaryM,-22.872,5.68,175,70,4
W0017,1999,M,1999,1,WithMother,-23.332,5.05,30,38,4
W0018,1999,F,1999,1,WithMother,-23.102,5.75,27,38,4
W0018,2002,F,1999,4,SolitaryF,-22.626,4.78,88,58,4
W0018,2004,F,1999,6,WithCubs,-23.172,4.27,82,58,4
W0018,2006,F,1999,8,WithCubs,-23.318,4.71,97,63,4
W0019,1999,F,1999,1,WithMother,-22.982,5.66,24,37,4
W0020,1999,F,1999,1,WithMother,-23.062,5.69,24,36,4
W0021,1999,F,1999,1,WithMother,-23.362,4.6,30,40,4
W0021,2002,F,1999,4,SolitaryF,-22.956,4.41,117,NA,9
W0021,2002,F,1999,4,SolitaryF,-23.356,4.59,117,NA,9
W0022,1999,M,1999,1,WithMother,-23.162,4.67,30,39,4
W0023,1999,M,1999,1,WithMother,-23.372,4.71,28,38,4
W0024,1999,M,1999,1,WithMother,-22.872,5.4,36,42,4
W0025,1999,F,1999,1,WithMother,-22.882,5.49,52,54,8
W0101,2000,M,1998,3,SolitaryM,-23.02,4.03,81,59,4
W0101,2003,M,1998,6,SolitaryM,-22.984,4.66,147,73,6
W0101,2007,M,1998,10,SolitaryM,-23.386,4.8,184,78,4
W0101,2008,M,1998,11,SolitaryM,-23.334,5,209,77,4
W0102,2000,M,1997,4,SolitaryM,-23,4.68,147,69,4
W0102,2001,M,1997,5,SolitaryM,-23.298,4.74,216,73,4
W0103,2000,M,1999,2,NA,-23.25,4.32,51,50,4
W0104,2000,F,2000,1,WithMother,-22.92,5.21,34,45,4
W0104,2002,F,2000,3,SolitaryF,-23.006,4.51,114,58,9
W0104,2005,F,2000,6,WithCubs,-23.06,4.36,77,59,4
W0104,2009,F,2000,10,WithCubs,-23.022,4.8,97,62,4
W0104,2011,F,2000,12,WithCubs,-23.078,4.33,78,60,5
W0104,2014,F,2000,15,WithCubs,-23.322,4.15,83.6,59,4
W0104,2015,F,2000,16,WithCubs,-23.49,4.4,102,59,5
W0105,2000,F,2000,1,WithMother,-22.9,5.72,35,45,4
W0106,2000,M,2000,1,WithMother,-23.07,5.57,26.5,42.5,4
W0107,2000,F,2000,1,WithMother,-22.8,5.49,28.5,44,4
W0107,2002,F,2000,3,SolitaryF,-22.476,4.47,101,61,9
W0107,2002,F,2000,3,SolitaryF,-22.786,5.1,101,61,9
W0107,2004,F,2000,5,SolitaryF,-22.992,5.07,79,59,4
W0107,2006,F,2000,7,WithCubs,-22.908,4.75,85,65,4
W0107,2008,F,2000,9,WithCubs,-22.874,4.45,97,66,4
W0108,2000,M,1990,11,SolitaryM,-22.98,4.47,218,77,4
W0108,2008,M,1990,19,SolitaryM,-23.014,4.75,NA,NA,13
W0109,2001,F,1994,8,WithCubs,-22.858,3.81,76,57,4
W0109,2003,F,1994,10,WithCubs,-23.514,3.93,87,62,4
W0110,2000,M,1998,3,SolitaryM,-23.38,3.59,65,52.5,4
W0111,2000,M,1994,7,SolitaryM,-23.05,4.65,174,70,4
W0112,2000,M,2000,1,WithMother,-22.89,4.93,22,40,4
W0113,2000,M,2000,1,WithMother,-23.19,4.79,20,39,4
W0114,2000,M,2000,1,WithMother,-23.13,4.64,19,38,4
W0115,2000,M,2000,1,WithMother,-23.22,4.4,26,41,4
W0116,2000,M,2000,1,WithMother,-23.36,5.34,28,42,4
W0117,2000,F,2000,1,WithMother,-22.06,5.64,18,39,4
W0118,2000,M,2000,1,WithMother,-23.15,4.88,22,39.5,4
W0119,2000,M,2000,1,WithMother,-23.09,4.86,26,39.5,4
W0120,2000,F,1999,2,NA,-23.37,3.71,41.5,48,5
W0120,2001,F,1999,3,SolitaryF,-23.138,4.12,58,52,4
W0120,2002,F,1999,4,SolitaryF,-22.786,3.7,80,60,5
W0121,2000,F,1986,15,NA,-22.86,4.42,93,62,5
W0122,2000,F,1994,7,NA,-23.03,4.08,87,60,5
W0201,2001,M,1998,4,SolitaryM,-23.158,4.38,113,66,4
W0201,2002,M,1998,5,SolitaryM,-23.176,4.54,142,72,6
W0201,2003,M,1998,6,SolitaryM,-23.394,4.98,196,78,6
W0202,2001,M,1996,6,SolitaryM,-23.458,4.99,160,70,4
W0203,2001,M,2001,1,NA,-22.898,4.26,13,37,4
W0204,2001,M,2001,1,NA,-22.808,4.56,21,40,4
W0205,2001,F,2001,1,WithMother,-23.168,5.06,18,38,4
W0206,2001,M,2001,1,WithMother,-23.098,4.91,21,39,4
W0207,2001,M,2001,1,WithMother,-22.998,5.19,26,42,4
W0208,2001,F,2001,1,WithMother,-23.048,3.9,17,38,4
W0208,2003,F,2001,3,SolitaryF,-23.244,3.92,50,49,4
W0208,2004,F,2001,4,SolitaryF,-22.962,3.95,65,53,5
W0209,2001,F,2001,1,WithMother,-22.948,4.3,16,37,4
W0209,2003,F,2001,3,SolitaryF,-23.084,4.45,61,52.5,4
W0209,2004,F,2001,4,SolitaryF,-23.312,4.94,71,56,4
W0209,2006,F,2001,6,WithCubs,-23.488,4.75,81,59,4
W0210,2001,M,2001,1,WithMother,-23.078,5.24,20,40,4
W0210,2009,M,2001,9,SolitaryM,-23.142,4.37,NA,NA,13
W0211,2001,M,2001,1,WithMother,-22.988,5.19,18.5,38,4
W0212,2001,F,2001,1,WithMother,-22.978,5.4,17,38,4
W0212,2004,F,2001,4,SolitaryF,-23.252,4.71,72,55,4
W0212,2005,F,2001,5,SolitaryF,-23.37,5.16,93,60,4
W0212,2006,F,2001,6,SolitaryF,-23.588,5.09,81,59,5
W0213,2001,M,2001,1,WithMother,-23.088,4.69,24,42.5,4
W0214,2001,F,2001,1,WithMother,-23.148,4.72,27,41.5,4
W0215,2001,M,2001,1,WithMother,-23.048,5.1,14,37,4
W0216,2001,M,2001,1,WithMother,-23.208,4.67,15,NA,4
W0217,2001,F,2001,1,WithMother,-23.078,4.72,10,35.5,4
W0217,2003,F,2001,3,SolitaryF,-23.404,4.22,45,46,4
W0217,2004,F,2001,4,SolitaryF,-24.012,4.21,53,53,4
W0217,2005,F,2001,5,SolitaryF,-23.57,4.66,NA,NA,13
W0217,2006,F,2001,6,NA,-23.328,5.31,NA,NA,5
W0217,2007,F,2001,7,SolitaryF,-22.856,4.77,105,60,8
W0217,2010,F,2001,10,WithCubs,-23.18,4.5,68,57,4
W0217,2012,F,2001,12,WithCubs,-23.296,4.69,79,59,5
W0219,2001,F,2001,1,WithMother,-23.338,4.73,24,42,4
W0219,2004,F,2001,4,SolitaryF,-23.622,4.81,78,59,4
W0219,2009,F,2001,9,SolitaryF,-23.742,4.9,84,63,5
W0219,2010,F,2001,10,WithCubs,-23.48,4.58,80,61,4
W0219,2015,F,2001,15,NA,-24.07,4.9,123,63,5
W0220,2001,M,2001,1,WithMother,-23.368,4.59,25,40,4
W0221,2001,F,2001,1,WithMother,-23.288,4.46,23,40,4
W0221,2004,F,2001,4,SolitaryF,-23.122,3.95,76,59,4
W0222,2001,M,2001,1,WithMother,-23.258,4.42,23,41.5,4
W0222,2004,M,2001,4,SolitaryM,-23.182,4.49,73,57,4
W0223,2001,F,2001,1,WithMother,-23.148,4.7,21,40,4
W0224,2001,M,1999,3,SolitaryM,-22.548,4.6,60,NA,4
W0225,2001,M,1997,5,SolitaryM,-23.158,4.41,152,70,5
W0226,2001,M,1991,11,SolitaryM,-22.908,5.07,157,75,5
W0226,2002,M,1991,12,SolitaryM,-22.616,5.02,168,74,6
W0227,2001,F,1995,7,NA,-22.878,4.58,89,57.5,5
W0228,2001,M,1998,4,SolitaryM,-22.868,4.37,88,58,5
W0228,2007,M,1998,10,SolitaryM,-22.976,5.26,135,71,4
W0228,2008,M,1998,11,SolitaryM,-23.674,4.63,182,72,4
W0229,2001,F,1998,4,NA,-22.998,4.92,72,55,5
W0229,2003,F,1998,6,SolitaryF,-22.774,4.65,98,60,4
W0229,2004,F,1998,7,SolitaryF,-22.882,4.81,92,58,4
W0229,2005,F,1998,8,WithCubs,-23.07,4.34,89,60,4
W0229,2008,F,1998,11,WithCubs,-22.864,4.3,98,64.5,4
W0230,2002,M,1998,5,SolitaryM,-23.336,5.26,207,72,9
W0230,2002,M,1998,5,SolitaryM,-23.626,5.96,207,72,9
W0231,2001,F,1992,10,NA,-22.978,4.87,98,62,6
W0231,2003,F,1992,12,WithCubs,-23.734,4.61,98,65,4
W0231,2007,F,1992,16,WithCubs,-23.126,4.6,88,65,4
W0231,2008,F,1992,17,WithCubs,-22.894,4.86,83,67,4
W0232,2001,M,1995,7,SolitaryM,-22.908,5.77,125,66,6
W0233,2001,M,1995,7,SolitaryM,-23.128,4.94,170,72,6
W0233,2003,M,1995,9,SolitaryM,-23.364,5.17,88,74,4
W0234,2001,F,1999,3,NA,-23.038,4.59,67,54,6
W0234,2003,F,1999,5,WithCubs,-23.424,4.15,74,56,4
W0235,2001,M,1998,4,SolitaryM,-23.278,5.35,85,61,6
W0235,2002,M,1998,5,SolitaryM,-23.336,4.44,111,65,7
W0235,2003,M,1998,6,SolitaryM,-23.464,5.22,122,70,6
W0236,2001,F,1999,3,NA,-22.828,4.19,67,53,6
W0236,2004,F,1999,6,WithCubs,-23.172,3.64,91,59,4
W0237,2001,F,1997,5,NA,-22.918,4.43,86,60,6
W0237,2003,F,1997,7,WithCubs,-23.064,3.82,93,61,4
W0237,2005,F,1997,9,NA,-22.95,4.27,95,62.5,5
W0237,2007,F,1997,11,WithCubs,-22.976,4.01,120,64,8
W0237,2009,F,1997,13,WithCubs,-22.872,3.49,90,60.5,4
W0238,2001,F,1986,16,NA,-22.738,3.99,82,61,6
W0301,2002,M,2002,1,WithMother,-23.566,5.28,14,35,4
W0302,2002,M,2002,1,WithMother,-23.186,5.1,26,41,4
W0303,2002,F,2002,1,WithMother,-23.216,5.52,18,38,4
W0303,2004,F,2002,3,SolitaryF,-23.292,4.14,49,49,4
W0303,2006,F,2002,5,SolitaryF,-22.728,4.67,NA,58,7
W0303,2010,F,2002,9,WithCubs,-22.4,4.62,74,56,4
W0303,2012,F,2002,11,WithCubs,-23.066,4.2,80,61,4
W0304,2002,F,2002,1,WithMother,-23.076,4.8,29,NA,4
W0305,2002,F,2002,1,WithMother,-23.066,4.79,24,NA,4
W0306,2002,F,2002,1,WithMother,-22.956,4.99,24.5,NA,4
W0307,2002,M,2000,3,SolitaryM,-23.236,4.65,55,56,4
W0308,2002,M,2002,1,WithMother,-23.036,4.7,17,38,4
W0309,2002,F,2002,1,WithMother,-23.076,4.82,10,35,4
W0310,2002,M,2002,1,WithMother,-23.236,4.62,22,NA,4
W0311,2002,F,2002,1,WithMother,-22.626,4.82,20,40,4
W0312,2002,M,2002,1,WithMother,-22.726,4.27,24,31,4
W0313,2002,M,2002,1,WithMother,-22.996,5,24,41,4
W0314,2002,M,2002,1,WithMother,-23.176,4.86,21,41,4
W0315,2002,M,2002,1,WithMother,-23.026,4.89,13,36,4
W0316,2002,M,2002,1,WithMother,-23.026,5.34,14,37,4
W0317,2002,F,2002,1,WithMother,-22.726,5.11,21,40,4
W0318,2002,F,2002,1,WithMother,-22.976,5.51,25,41,4
W0319,2002,M,2002,1,WithMother,-22.906,5.54,24,41,4
W0320,2002,M,2002,1,WithMother,-23.216,5.27,19,39.5,4
W0321,2002,M,2002,1,WithMother,-23.246,4.97,17,37,4
W0323,2002,F,2000,3,NA,-22.346,4.58,NA,57,6
W0323,2002,F,2000,3,NA,-22.696,4.98,NA,57,6
W0323,2003,F,2000,4,SolitaryF,-23.474,5.15,89,58,6
W0323,2004,F,2000,5,SolitaryF,-22.922,4.55,94,60,4
W0324,2002,M,1998,5,SolitaryM,-22.916,4.43,122,66,6
W0324,2004,M,1998,7,SolitaryM,-23.272,4.81,155,71,6
W0325,2002,F,1994,9,NA,-23.156,4.16,89,63,6
W0326,2002,F,1993,10,NA,-22.466,4.19,98,64,6
W0326,2004,F,1993,12,WithCubs,-22.702,3.95,96,62,4
W0326,2007,F,1993,15,WithCubs,-22.646,4.25,89,65,4
W0326,2010,F,1993,18,WithCubs,-22.78,4.4,82,60,4
W0327,2002,M,1998,5,SolitaryM,-23.216,4.71,NA,66,6
W0328,2002,F,1994,9,NA,-23.036,4.23,106,62,7
W0401,2003,F,2003,1,WithMother,-23.514,4.61,21,40,4
W0402,2003,F,2003,1,WithMother,-23.164,4.9,30,42,4
W0402,2003,F,2003,1,WithMother,-23.724,4.85,30,42,4
W0403,2003,F,2003,1,WithMother,-23.214,4.83,26,42,4
W0404,2003,M,2003,1,WithMother,-23.234,4.37,25,41,4
W0405,2003,F,2003,1,WithMother,-23.074,4.76,29,45,4
W0405,2006,F,2003,4,SolitaryF,-23.028,5.04,72,57.5,6
W0406,2003,M,2003,1,WithMother,-23.584,4.5,21,40,4
W0407,2003,F,2003,1,WithMother,-23.614,4.36,17,38,4
W0407,2005,F,2003,3,SolitaryF,-22.92,4.85,NA,51,6
W0408,2003,M,2003,1,WithMother,-23.364,4.56,29,42.5,4
W0409,2003,M,2003,1,WithMother,-23.614,4.93,21,40,4
W0410,2003,F,2003,1,WithMother,-23.564,4.64,27,39,4
W0410,2005,F,2003,3,SolitaryF,-23.47,4.51,54,49.5,4
W0410,2006,F,2003,4,SolitaryF,-23.488,4.71,72,58,4
W0411,2005,F,2003,3,SolitaryF,-23.45,4.92,60,51,4
W0411,2006,F,2003,4,SolitaryF,-23.748,5.11,85,57,4
W0411,2007,F,2003,5,SolitaryF,-23.306,4.77,77,58,4
W0411,2008,F,2003,6,SolitaryF,-23.204,4.85,90,58,5
W0412,2003,F,2003,1,WithMother,-23.634,4.35,21,39,4
W0413,2003,M,2003,1,WithMother,-23.614,4.15,24,40,4
W0414,2003,M,1996,8,SolitaryM,-23.004,6.07,185,74,4
W0415,2003,F,2003,1,WithMother,-23.364,4.41,27,41,4
W0415,2006,F,2003,4,SolitaryF,-22.758,4.39,74,57,5
W0416,2003,F,2003,1,WithMother,-23.344,4.35,25,45,4
W0416,2006,F,2003,4,SolitaryF,-23.118,4.52,76,59,4
W0417,2003,M,2003,1,WithMother,-22.994,5.1,22,38.5,4
W0418,2003,M,2003,1,WithMother,-23.244,4.29,27,42,4
W0419,2003,F,2003,1,WithMother,-23.034,4.88,22,38.5,4
W0421,2003,M,2003,1,WithMother,-23.554,5.09,26,41.5,4
W0422,2003,F,2003,1,WithMother,-23.264,4.36,27,40,4
W0422,2005,F,2003,3,SolitaryF,-22.94,4.63,65,53,4
W0422,2006,F,2003,4,SolitaryF,-22.908,4.67,NA,61,5
W0422,2007,F,2003,5,SolitaryF,-22.816,4.62,83,61,4
W0422,2008,F,2003,6,SolitaryF,-22.814,4.18,82,62,4
W0424,2003,M,1997,7,SolitaryM,-23.704,7.11,198,81,6
W0424,2005,M,1997,9,SolitaryM,-23.51,6.55,241,85,5
W0424,2007,M,1997,11,SolitaryM,-23.396,7.14,250,89,4
W0424,2009,M,1997,13,SolitaryM,-23.782,6.57,234,89,4
W0425,2003,F,2000,4,NA,-23.174,3.92,67,54,6
W0425,2005,F,2000,6,WithCubs,-23.27,4.81,72,57,4
W0425,2007,F,2000,8,WithCubs,-22.796,4.23,71,58,4
W0425,2008,F,2000,9,SolitaryF,-22.944,4.31,105,NA,7
W0425,2010,F,2000,11,WithCubs,-23.04,4.18,65.4,57,4
W0425,2012,F,2000,13,WithCubs,-23.666,4.65,76,59,5
W0426,2003,M,2000,4,SolitaryM,-23.294,4.31,99,61.5,6
W0427,2003,F,2001,3,NA,-23.374,4.58,67,52,6
W0427,2004,F,2001,4,SolitaryF,-23.302,4.35,67,57,4
W0427,2005,F,2001,5,SolitaryF,-23.18,4.64,84,62,7
W0501,2004,M,1996,9,SolitaryM,-23.182,5.53,231,80,3
W0502,2004,M,2004,1,WithMother,-23.242,5.05,24,41,4
W0503,2004,F,2004,1,WithMother,-23.082,4.97,24,42,4
W0503,2006,F,2004,3,SolitaryF,-23.108,4.74,63,56,4
W0503,2007,F,2004,4,SolitaryF,-22.826,4.86,70,57,4
W0503,2008,F,2004,5,SolitaryF,-23.004,4.71,90,63,4
W0504,2004,F,2004,1,WithMother,-22.672,3.76,25,41,4
W0504,2009,F,2004,6,SolitaryF,-22.942,4.22,80,62,4
W0505,2004,F,2004,1,WithMother,-23.752,4.28,23.5,40,4
W0506,2004,M,2004,1,WithMother,-23.562,4.02,27.5,42,4
W0507,2004,F,2004,1,WithMother,-24.002,4.4,22,41,4
W0507,2006,F,2004,3,SolitaryF,-22.878,4.83,59,53.5,4
W0507,2007,F,2004,4,SolitaryF,-22.846,4.16,63,58,4
W0507,2008,F,2004,5,SolitaryF,-22.574,4.39,96,63,4
W0508,2004,F,2004,1,WithMother,-23.152,4.8,17,38.5,4
W0509,2004,F,2004,1,WithMother,-22.922,4.16,22,43,4
W0510,2004,M,2004,1,WithMother,-23.202,4.3,19,40,4
W0511,2004,F,2004,1,WithMother,-23.152,4.48,17,28,4
W0512,2004,M,2004,1,WithMother,-22.882,4.58,30,41,4
W0513,2004,F,2004,1,WithMother,-23.122,4.98,22,40,4
W0514,2004,M,2004,1,WithMother,-22.902,4.61,20,40,4
W0515,2004,M,2004,1,WithMother,-23.222,4.3,27,43,4
W0516,2004,F,1992,13,NA,-23.112,4.03,125,64,8
W0517,2004,F,2001,4,NA,-22.702,4.88,65,53,6
W0517,2006,F,2001,6,WithCubs,-23.288,4.57,62,53.5,4
W0517,2010,F,2001,10,WithCubs,-22.28,4.26,58,54,4
W0602,2005,F,2005,1,WithMother,-23.58,4.9,19,41,4
W0603,2005,F,2005,1,WithMother,-23.17,5.67,41,48,4
W0604,2005,M,2005,1,WithMother,-23.45,4.85,NA,NA,4
W0605,2005,F,2005,1,WithMother,-23.49,4.61,20,38,4
W0605,2009,F,2005,5,SolitaryF,-23.062,4.69,70,58.5,4
W0605,2010,F,2005,6,SolitaryF,-22.8,4.74,73,57,4
W0605,2011,F,2005,7,SolitaryF,-23.098,4.48,67,57,5
W0605,2012,F,2005,8,WithCubs,-23.306,4.63,72,57,4
W0605,2015,F,2005,11,WithCubs,-23.66,4.49,80.8,58,5
W0606,2005,F,2005,1,WithMother,-23.28,4.82,20,38,4
W0607,2005,F,2005,1,WithMother,-23.33,5.06,17,37,4
W0608,2005,F,2005,1,WithMother,-23.6,5.14,24,40,4
W0609,2005,F,2005,1,WithMother,-23.34,5.29,22.5,39,4
W0610,2007,F,2005,3,SolitaryF,-22.746,4.01,28,44,4
W0610,2008,F,2005,4,SolitaryF,-22.984,4.36,45,46,4
W0610,2009,F,2005,5,SolitaryF,-22.902,4.4,47,50,4
W0610,2009,F,2005,5,SolitaryF,-23.252,4.31,47,50,4
W0610,2010,F,2005,6,SolitaryF,-22.56,3.86,51,52,4
W0610,2011,F,2005,7,SolitaryF,-22.888,4.81,61.5,52,5
W0610,2012,F,2005,8,SolitaryF,-23.236,4.49,75,54,4
W0611,2005,F,2005,1,WithMother,-23.43,4.91,15,35,4
W0611,2008,F,2005,4,SolitaryF,-23.174,4.06,46,47,4
W0611,2009,F,2005,5,SolitaryF,-23.262,4.24,48,50.5,4
W0611,2010,F,2005,6,SolitaryF,-22.5,4.63,55,51,4
W0611,2011,F,2005,7,SolitaryF,-22.878,4.47,81.9,56,5
W0611,2012,F,2005,8,SolitaryF,-22.746,5.51,79,54,4
W0612,2005,M,2005,1,WithMother,-23.2,4.97,21.5,40,5
W0612,2007,M,2005,3,SolitaryM,-23.066,4.59,80,58,4
W0612,2008,M,2005,4,SolitaryM,-22.914,4.41,97,66,4
W0613,2005,M,2005,1,WithMother,-23.31,4.97,14.5,34,5
W0613,2007,M,2005,3,SolitaryM,-22.876,4.38,83,56,4
W0614,2005,M,2005,1,WithMother,-23.25,4.72,19,40,5
W0615,2005,M,2005,1,WithMother,-23.28,5.01,29,44,5
W0616,2005,F,2005,1,WithMother,-23.04,5.03,25,42,5
W0616,2008,F,2005,4,SolitaryF,-23.034,4.39,77,62,4
W0616,2009,F,2005,5,SolitaryF,-22.972,4.5,81,58,4
W0617,2005,M,2005,1,WithMother,-23,4.91,25,43,5
W0618,2005,M,2005,1,WithMother,-23.85,4.83,21,41,5
W0618,2006,M,2005,2,WithMother,-23.368,4.65,50,50,5
W0619,2005,M,2005,1,WithMother,-23.81,4.93,20,43,5
W0619,2006,M,2005,2,WithMother,-23.488,4.72,42,49,5
W0620,2005,F,2005,1,WithMother,-23.1,5.36,25,40,5
W0620,2007,F,2005,3,SolitaryF,-22.986,4.61,NA,57,5
W0620,2008,F,2005,4,SolitaryF,-22.804,4.69,77,58,4
W0620,2011,F,2005,7,WithCubs,-22.968,4.42,79,63,5
W0620,2012,F,2005,8,SolitaryF,-23.306,4.89,86,62,5
W0620,2014,F,2005,10,WithCubs,-23.352,4.85,106.5,63,4
W0621,2005,F,2005,1,WithMother,-23.39,4.53,18,40,5
W0621,2008,F,2005,4,SolitaryF,-22.634,4.33,78,57,4
W0621,2010,F,2005,6,SolitaryF,-22.98,4.57,83,60,4
W0621,2012,F,2005,8,WithCubs,-23.286,4.21,86,62,4
W0621,2015,F,2005,11,WithCubs,-23.23,4.42,93,62,5
W0622,2005,F,2005,1,WithMother,-23.48,4.81,20.5,40,5
W0622,2008,F,2005,4,SolitaryF,-23.364,4.53,78,61,5
W0622,2009,F,2005,5,SolitaryF,-23.472,3.95,98,63,4
W0623,2005,F,2005,1,WithMother,-23.06,5.43,20.5,42,5
W0623,2008,F,2005,4,SolitaryF,-22.894,4.28,69,60,4
W0623,2010,F,2005,6,WithCubs,-23.33,4.4,70,57,4
W0623,2015,F,2005,11,WithCubs,-23.74,3.91,88,64,5
W0624,2005,F,1989,17,NA,-23.06,4.78,111,65,5
W0624,2006,F,1989,18,SolitaryF,-23.048,4.57,120,65,4
W0624,2007,F,1989,19,SolitaryF,-22.886,4.83,118,65,5
W0625,2005,M,2003,3,SolitaryM,-23.18,4.66,NA,59.5,6
W0625,2006,M,2003,4,SolitaryM,-23.478,4.88,93,67,5
W0625,2007,M,2003,5,SolitaryM,-22.996,4.79,NA,66,6
W0625,2008,M,2003,6,SolitaryM,-23.164,5,NA,72,5
W0625,2009,M,2003,7,SolitaryM,-23.412,5.41,130,69,4
W0625,2010,M,2003,8,SolitaryM,-23.26,5.71,121,70,4
W0625,2011,M,2003,9,SolitaryM,-23.468,5.37,148,71,4
W0625,2012,M,2003,10,SolitaryM,-23.626,5.47,162,72,4
W0626,2005,F,2000,6,WithCubs,-23.34,4.44,76,57,6
W0626,2006,F,2000,7,SolitaryF,-23.268,4.6,68,57,5
W0626,2007,F,2000,8,SolitaryF,-23.216,4.29,NA,60,6
W0701,2006,F,2006,1,WithMother,-23.448,5.03,20,NA,4
W0702,2006,F,2006,1,WithMother,-23.488,5.25,19,NA,4
W0702,2009,F,2006,4,NA,-23.192,4.41,NA,NA,13
W0703,2006,F,2006,1,WithMother,-23.408,5.35,20.5,40,4
W0703,2008,F,2006,3,SolitaryF,-22.974,4.17,51,52,4
W0703,2009,F,2006,4,SolitaryF,-22.972,4.79,59,51,4
W0703,2010,F,2006,5,SolitaryF,-23.08,4.81,74,56,5
W0704,2006,M,2006,1,WithMother,-23.338,5.47,26,40.5,4
W0705,2006,M,2006,1,WithMother,-23.218,5.18,30,42,4
W0706,2006,F,2006,1,WithMother,-22.888,5.24,19,39,4
