BearID,year,sex,birth,age,reprostatus.represent,C13.suess,N15,weight,headcirc,Cmonth
W0706,2009,F,2006,4,SolitaryF,-23.242,4.27,61,56,4
W0706,2015,F,2006,10,WithCubs,-23.41,4.63,83.6,59,5
W0707,2006,F,2006,1,WithMother,-22.798,5.12,19,39,4
W0708,2006,M,2006,1,WithMother,-23.278,5.35,22,38.5,4
W0709,2006,F,2006,1,WithMother,-23.118,5.46,25,41.5,4
W0710,2006,M,2006,1,WithMother,-23.428,5.33,26,44.5,4
W0711,2006,M,2006,1,WithMother,-23.268,5.61,24,40,4
W0712,2006,F,2006,1,WithMother,-23.218,5.12,12,37.5,4
W0713,2006,F,2006,1,WithMother,-23.298,5.05,12,38,4
W0713,2007,F,2006,2,WithMother,-23.166,5.36,NA,NA,13
W0713,2009,F,2006,4,SolitaryF,-23.072,4.74,46,50,4
W0713,2012,F,2006,7,SolitaryF,-23.116,5.17,77,58,5
W0713,2014,F,2006,9,WithCubs,-23.302,4.68,62.8,56.5,4
W0716,2006,F,2001,6,NA,-23.068,4.13,89,61,5
W0716,2009,F,2001,9,WithCubs,-23.442,3.94,89,60,4
W0716,2011,F,2001,11,WithCubs,-23.218,4.49,87,60,5
W0716,2015,F,2001,15,SolitaryF,-23.11,4.09,117.8,62,5
W0717,2006,M,1996,11,SolitaryM,-23.238,6.13,218,81,5
W0717,2006,M,1996,11,SolitaryM,-23.018,5.83,218,81,5
W0718,2006,M,2000,7,SolitaryM,-23.298,5.66,208,77,5
W0718,2008,M,2000,9,SolitaryM,-23.354,5.4,192,76,4
W0718,2008,M,2000,9,SolitaryM,-23.534,4.98,192,76,4
W0718,2009,M,2000,10,SolitaryM,-23.412,5.95,180,72,4
W0718,2010,M,2000,11,SolitaryM,-23,6.72,171,70,4
W0719,2006,M,2002,5,SolitaryM,-23.388,5.69,114,62.5,5
W0719,2007,M,2002,6,SolitaryM,-23.126,5.34,170,67,4
W0719,2009,M,2002,8,SolitaryM,-23.442,5.67,142,63,4
W0719,2010,M,2002,9,SolitaryM,-23.3,5.53,152,67,4
W0719,2011,M,2002,10,SolitaryM,-23.338,5.82,143,66,4
W0719,2012,M,2002,11,SolitaryM,-23.606,6.9,159,68,4
W0720,2006,F,2000,7,NA,-23.268,4.75,75,58,6
W0720,2010,F,2000,11,WithCubs,-22.98,4.65,56,56,4
W0720,2014,F,2000,15,WithCubs,-23.102,4.48,76.6,59,4
W0801,2007,M,1988,20,SolitaryM,-22.906,6.18,180,80,4
W0802,2007,M,2003,5,SolitaryM,-22.896,5.58,NA,67,6
W0802,2008,M,2003,6,SolitaryM,-23.394,5.27,128,67,4
W0802,2009,M,2003,7,SolitaryM,-23.582,5.64,155,73,4
W0802,2010,M,2003,8,SolitaryM,-23.59,7,152,72,4
W0803,2007,M,1992,16,SolitaryM,-22.916,5.73,230,85,4
W0804,2007,M,2004,4,SolitaryM,-23.266,5.36,136,68,4
W0805,2007,M,2002,6,SolitaryM,-23.366,6.18,171,72,4
W0805,2008,M,2002,7,SolitaryM,-23.344,5.91,197,78,4
W0805,2009,M,2002,8,SolitaryM,-23.192,6.07,NA,81,4
W0805,2010,M,2002,9,SolitaryM,-23.13,6.81,200,80,4
W0805,2011,M,2002,10,SolitaryM,-23.148,6.55,207,78,4
W0805,2012,M,2002,11,SolitaryM,-23.446,6.6,215,84,5
W0806,2007,F,2007,1,WithMother,-23.026,4.14,15,39.5,4
W0806,2008,F,2007,2,SolitaryF,-23.244,3.71,26,45,4
W0806,2009,F,2007,3,SolitaryF,-23.462,3.93,45,47,4
W0806,2010,F,2007,4,SolitaryF,-22.79,4.59,51,51,4
W0806,2011,F,2007,5,SolitaryF,-22.928,4.49,67,54,4
W0806,2012,F,2007,6,SolitaryF,-23.036,5.09,77,57,5
W0807,2007,M,2007,1,WithMother,-23.146,4.3,15,39,4
W0808,2007,M,2007,1,WithMother,-23.336,4.92,14,37,4
W0808,2008,M,2007,2,WithMother,-22.794,4.39,39,45,4
W0809,2007,M,2007,1,WithMother,-23.166,5.25,17,42,4
W0809,2008,M,2007,2,WithMother,-22.754,4.75,46,47,4
W0810,2007,M,2007,1,WithMother,-23.316,4.95,24,43,4
W0810,2008,M,2007,2,WithMother,-22.874,4.06,48,50,4
W0810,2009,M,2007,3,SolitaryM,-23.432,4.25,78,55,4
W0810,2010,M,2007,4,SolitaryM,-23.79,6.17,102,64,4
W0811,2007,M,2007,1,WithMother,-23.216,4.83,22,42,4
W0811,2008,M,2007,2,WithMother,-22.864,3.96,45,48,4
W0811,2009,M,2007,3,SolitaryM,-23.212,4.29,70,52,4
W0811,2010,M,2007,4,SolitaryM,-22.87,5.22,76,61,4
W0811,2011,M,2007,5,SolitaryM,-23.528,4.88,143,70.5,8
W0811,2012,M,2007,6,SolitaryM,-23.666,5.24,NA,71,6
W0812,2007,M,2007,1,WithMother,-23.236,4.81,16,38,4
W0812,2008,M,2007,2,WithMother,-22.954,3.9,39,47,4
W0812,2009,M,2007,3,SolitaryM,-23.242,4.17,77,54,6
W0812,2010,M,2007,4,SolitaryM,-22.97,5.01,86,61,6
W0812,2011,M,2007,5,SolitaryM,-23.188,5.42,93,60,4
W0812,2012,M,2007,6,SolitaryM,-23.586,5.11,113,67,4
W0813,2008,F,2007,2,SolitaryF,-23.724,4.13,36,43,4
W0814,2007,F,2007,1,WithMother,-23.256,4.69,15,37.5,4
W0814,2008,F,2007,2,SolitaryF,-24.164,3.67,33,42,4
W0815,2007,M,2007,1,WithMother,-22.886,4.5,19,40.5,4
W0816,2007,F,2007,1,WithMother,-22.626,4.63,19,40.5,4
W0817,2007,F,2007,1,WithMother,-22.806,4.54,17,39,4
W0818,2007,F,2007,1,WithMother,-22.836,4.15,13,35.5,4
W0818,2008,F,2007,2,SolitaryF,-22.844,3.34,28,42,4
W0818,2010,F,2007,4,SolitaryF,-22.37,4.03,48,50,4
W0818,2011,F,2007,5,SolitaryF,-22.808,4.3,54.5,53,4
W0818,2012,F,2007,6,SolitaryF,-22.896,4.31,69,57,4
W0818,2015,F,2007,9,SolitaryF,-21.17,4.38,87.4,58,4
W0819,2007,F,2007,1,WithMother,-23.116,4.63,18,38,4
W0820,2007,F,2007,1,WithMother,-22.976,4.6,19,40,4
W0820,2008,F,2007,2,SolitaryF,-23.004,3.66,33,45,4
W0820,2009,F,2007,3,SolitaryF,-22.892,4.1,55,51,6
W0820,2010,F,2007,4,SolitaryF,-22.62,4.14,57,53.5,4
W0820,2011,F,2007,5,SolitaryF,-23.108,4.26,62,55,4
W0821,2007,M,2007,1,WithMother,-22.796,4.68,15,36.5,4
W0822,2007,M,2007,1,WithMother,-23.146,4.51,17.5,41.5,4
W0823,2007,F,2007,1,WithMother,-23.116,4.5,9.5,35,4
W0824,2007,M,2007,1,WithMother,-23.036,4.59,12.5,37,4
W0824,2008,M,2007,2,SolitaryM,-23.394,4.2,25,43,4
W0824,2010,M,2007,4,SolitaryM,-23.27,4.82,74,58,4
W0825,2007,F,2007,1,WithMother,-22.716,4.51,11.5,36,4
W0825,2008,F,2007,2,SolitaryF,-23.364,3.85,23,43,4
W0825,2011,F,2007,5,SolitaryF,-23.408,4.11,49.5,51,4
W0825,2012,F,2007,6,SolitaryF,-23.626,4.55,58,53,4
W0826,2007,F,1997,11,NA,-23.226,5.21,82,62,5
W0826,2009,F,1997,13,WithCubs,-22.792,4.11,83,62,4
W0827,2007,M,2004,4,SolitaryM,-23.556,4.14,111,65,6
W0827,2008,M,2004,5,SolitaryM,-23.314,5.14,129,68,4
W0827,2009,M,2004,6,SolitaryM,-23.452,5.8,NA,68,4
W0901,2008,M,2008,1,WithMother,-23.314,5.3,25,38,4
W0901,2009,M,2008,2,WithMother,-23.292,4.98,49,47,4
W0901,2010,M,2008,3,SolitaryM,-23.44,5.09,74,55,4
W0902,2008,M,2008,1,WithMother,-22.934,5.64,25,40,4
W0902,2009,M,2008,2,WithMother,-23.292,5.33,55,48,4
W0902,2010,M,2008,3,SolitaryM,-23.82,6.29,99,58,4
W0903,2008,M,2008,1,WithMother,-23.224,4.64,25,40.5,4
W0903,2009,M,2008,2,WithMother,-23.262,5.09,60,56,4
W0903,2010,M,2008,3,SolitaryM,-23.3,4.96,68,54,4
W0904,2008,F,2008,1,WithMother,-23.234,4.69,23,40,4
W0904,2009,F,2008,2,WithMother,-23.102,4.57,51,49,4
W0904,2011,F,2008,4,SolitaryF,-22.958,4.99,63,52,4
W0905,2008,M,2008,1,WithMother,-23.034,5.21,28,43.5,4
W0906,2008,M,2008,1,WithMother,-22.914,5.02,24,42,4
W0907,2008,M,2008,1,WithMother,-23.734,5.04,13,39,4
W0907,2009,M,2008,2,WithMother,-23.512,4.54,27,44,4
W0908,2008,M,2008,1,WithMother,-23.774,4.43,14,40,4
W0908,2009,M,2008,2,WithMother,-23.632,4.55,33,42,4
W0908,2011,M,2008,4,SolitaryM,-23.468,5.26,60,52,4
W0908,2012,M,2008,5,SolitaryM,-23.446,4.83,98,62,4
W0909,2008,M,2008,1,WithMother,-23.794,4.89,19,40,4
W0909,2009,M,2008,2,WithMother,-23.532,4.68,35,45,4
W0910,2008,M,2008,1,WithMother,-23.224,4.46,25,41,4
W0910,2010,M,2008,3,SolitaryM,-23.02,4.27,55,51,4
W0910,2011,M,2008,4,SolitaryM,-23.288,5.07,100,58,4
W0910,2012,M,2008,5,SolitaryM,-23.656,5.93,139,67,4
W0911,2008,M,2008,1,WithMother,-23.454,4.72,17,40,4
W0912,2008,M,2008,1,WithMother,-23.134,5.04,27,43.5,4
W0915,2008,M,2002,7,SolitaryM,-23.024,7.04,162,72,5
W0916,2008,M,2005,4,SolitaryM,-23.504,4.69,140,70,5
W0917,2008,M,2003,6,SolitaryM,-23.524,5.35,187,75,5
W1001,2009,M,2000,10,SolitaryM,-23.412,5.99,183,69,4
W1001,2010,M,2000,11,SolitaryM,-23.3,6.32,153,70,4
W1002,2009,M,2009,1,WithMother,-23.512,4.55,21,38,4
W1003,2009,M,2009,1,WithMother,-23.322,4.49,19,38,4
W1004,2009,M,2009,1,WithMother,-23.572,4.6,18,38,4
W1005,2009,M,2009,1,WithMother,-23.212,4.9,15.5,39,4
W1005,2010,M,2009,2,WithMother,-23.04,4.4,22,39,4
W1006,2009,F,2009,1,WithMother,-23.252,4.82,14.5,38,4
W1006,2010,F,2009,2,WithMother,-23.09,4.5,23,45.5,4
W1007,2009,M,2009,1,WithMother,-23.432,4.13,17.5,39,4
W1008,2009,M,2009,1,WithMother,-23.412,4.42,19,39.5,4
W1009,2009,F,2009,1,WithMother,-23.372,4.67,17,38,4
W1010,2009,M,2009,1,WithMother,-22.942,4.41,15.5,39,4
W1010,2011,M,2009,3,SolitaryM,-23.078,5.05,42,51,5
W1011,2009,F,2009,1,WithMother,-22.902,4.56,17,34,4
W1011,2012,F,2009,4,SolitaryF,-22.986,5.02,55.5,53,5
W1012,2009,M,2009,1,WithMother,-23.302,4.46,20,38,4
W1013,2009,M,2009,1,WithMother,-22.952,4.36,20,40.5,4
W1014,2009,M,2009,1,WithMother,-23.382,4.74,18,42,4
W1015,2009,M,2009,1,WithMother,-23.032,3.97,14,39,4
W1016,2009,M,2009,1,WithMother,-23.042,4.38,18,39.5,4
W1017,2009,F,2009,1,WithMother,-23.052,4.29,18,40,4
W1017,2012,F,2009,4,SolitaryF,-23.146,4.73,64,55,4
W1017,2015,F,2009,7,WithCubs,-23.18,4.54,86.8,57,5
W1018,2009,F,2003,7,NA,-23.202,4.18,90,61,5
W1019,2009,M,2004,6,SolitaryM,-23.852,5.62,168,73,5
W1019,2010,M,2004,7,SolitaryM,-23.4,5.9,206,79,4
W1019,2011,M,2004,8,SolitaryM,-23.568,6.94,233,81,4
W1020,2009,M,2004,6,SolitaryM,-23.562,6.83,190,73,5
W1020,2010,M,2004,7,SolitaryM,-24.01,5.91,178,72,4
W1101,2010,M,2010,1,WithMother,-22.66,4.56,12,38,4
W1102,2010,M,2010,1,WithMother,-22.62,4.74,15.5,39.5,4
W1103,2010,M,2010,1,WithMother,-23.52,5.18,14,38,4
W1103,2011,M,2010,2,SolitaryM,-22.998,4.86,30,43,4
W1103,2012,M,2010,3,SolitaryM,-23.156,4.35,72,56,4
W1104,2010,F,2010,1,WithMother,-22.62,4.7,16,39,4
W1105,2010,F,2010,1,WithMother,-22.63,4.46,17,38.5,4
W1106,2010,F,2010,1,WithMother,-22.6,4.66,10,36,4
W1107,2010,M,2010,1,WithMother,-22.6,4.43,11,39,4
W1108,2010,M,2010,1,WithMother,-22.87,4.54,13.5,39,4
W1109,2010,M,2010,1,WithMother,-22.88,4.53,17,40,4
W1110,2010,F,2010,1,WithMother,-22.84,4.51,14,39.5,4
W1110,2014,F,2010,5,SolitaryF,-23.212,4.67,62.2,52.5,4
W1110,2015,F,2010,6,SolitaryF,-23.42,4.94,82.5,56,4
W1111,2010,F,2010,1,WithMother,-23.14,4.41,8,36,4
W1112,2010,F,2010,1,WithMother,-23.35,4.94,18.5,40.5,4
W1112,2015,F,2010,6,WithCubs,-23.55,4.85,89.6,62,5
W1113,2010,M,2010,1,WithMother,-23.28,5,11.4,37,4
W1114,2010,F,2010,1,WithMother,-23.37,4.08,14,38,4
W1201,2011,M,2009,3,SolitaryM,-23.298,6.22,93,60,4
W1202,2011,F,2010,2,NA,-23.088,4.57,27.6,41.5,4
W1203,2011,F,2008,4,NA,-22.818,4.62,50,49,4
W1203,2012,F,2008,5,SolitaryF,-22.966,4.42,69,57,5
W1203,2015,F,2008,8,WithCubs,-23.91,5.17,77.8,56.5,5
W1204,2011,M,2011,1,WithMother,-23.878,5.57,18.5,37,5
W1205,2011,F,2011,1,WithMother,-23.438,5.79,20,40,5
W1205,2012,F,2011,2,WithMother,-23.516,4.99,43,48,4
W1205,2014,F,2011,4,SolitaryF,-23.552,5.42,74.5,55,4
W1206,2011,F,2011,1,WithMother,-23.338,5.47,22.5,40.5,5
W1206,2012,F,2011,2,WithMother,-23.426,5.18,NA,54,6
W1206,2014,F,2011,4,SolitaryF,-23.882,5.66,90.6,60,4
W1206,2015,F,2011,5,SolitaryF,-24.13,6.15,120,65,4
W1207,2011,M,2011,1,WithMother,-23.588,5.38,20,42,5
W1208,2011,M,2009,3,SolitaryM,-23.948,5.71,53.5,53,5
W1209,2011,F,2011,1,WithMother,-23.848,5.44,NA,37,5
W1209,2015,F,2011,5,SolitaryF,-23.36,4.56,55,52,4
W1210,2012,M,2008,5,SolitaryM,-23.576,4.6,85,62,4
W1211,2012,M,2000,13,SolitaryM,-23.436,6.09,172,72.5,4
W1301,2012,M,2012,1,WithMother,-23.696,5,17,39.5,4
W1302,2012,M,2012,1,WithMother,-23.816,4.81,17,40,4
W1303,2012,F,2012,1,WithMother,-23.356,5.46,19,40.5,4
W1304,2012,F,2012,1,WithMother,-23.316,5.66,19,39,4
W1304,2015,F,2012,4,SolitaryF,-23.43,4.75,48.8,49.5,4
W1305,2012,F,2012,1,WithMother,-23.206,4.8,21.5,36,4
W1305,2015,F,2012,4,SolitaryF,-23.2,4.83,72,55,4
W1306,2012,M,2012,1,WithMother,-23.146,4.83,23,41,4
W1307,2012,M,2012,1,WithMother,-23.646,4.99,10,35.5,4
W1308,2012,M,2012,1,WithMother,-23.536,4.86,15,36,4
W1309,2012,F,2012,1,WithMother,-22.296,5.3,21,40,4
W1310,2012,F,2012,1,WithMother,-22.086,4.66,18.5,41,4
W1311,2012,F,2012,1,WithMother,-22.306,5.01,17,37,4
W1312,2012,M,2008,5,SolitaryM,-22.576,4.62,89,58,5
W1313,2012,F,2004,9,NA,-22.556,4.61,85,62,5
W1314,2012,M,2009,4,SolitaryM,-22.596,4.8,118,68,5
W1315,2012,F,2012,1,WithMother,-23.086,4.61,15,38,5
W1316,2012,M,2012,1,WithMother,-23.196,4.52,17,40,5
W1317,2012,M,2012,1,WithMother,-23.276,4.7,15.5,40,5
W1318,2012,M,2005,8,SolitaryM,-23.136,6.35,173.5,72,5
W1319,2012,F,2009,4,NA,-22.636,4.93,73,58.5,5
W1319,2015,F,2009,7,WithCubs,-23.62,4.36,72.6,57,5
W1320,2011,M,2007,5,SolitaryM,-22.768,5.57,NA,NA,13
W1408,2015,F,2013,3,SolitaryF,-23.77,6.09,81.6,55,4
W1417,2015,F,NA,NA,WithCubs,-24.23,4.66,76,55,5
W1505,2015,F,NA,NA,SolitaryF,-23.43,4.6,112.6,61,4
W1614,2015,F,2015,1,WithMother,-23.59,4.73,17.8,37,5
W504,2007,NA,NA,NA,NA,-22.636,4.68,NA,NA,13
W8607,1996,M,1971,26,SolitaryM,-23.018,5.94,NA,74,4
W8607,1999,M,1971,29,SolitaryM,-23.552,8.39,205,77,4
W8807,1995,M,1984,12,SolitaryM,-22.88,5.06,145,66,4
W8807,1997,M,1984,14,SolitaryM,-23.106,5.6,168,74,4
W8807,1999,M,1984,16,SolitaryM,-23.012,5.81,150,69,4
W8807,2001,M,1984,18,SolitaryM,-22.988,6.36,NA,72,4
W8807,2003,M,1984,20,SolitaryM,-23.374,5.35,170,73,4
W8808,1995,F,1981,15,WithCubs,-23.1,3.92,94,62,4
W8808,1996,F,1981,16,SolitaryF,-22.868,4.19,111,62,7
W8808,1998,F,1981,18,WithCubs,-22.884,4.21,90,61,4
W8808,2002,F,1981,22,WithCubs,-22.926,4.22,83,62,4
W8811,1995,F,1978,18,WithCubs,-22.73,4.69,102,64,4
W8811,1996,F,1978,19,WithCubs,-22.698,4.99,104,62,4
W8811,1998,F,1978,21,SolitaryF,-22.714,6.1,140,64,4
W8904,1996,F,1987,10,WithCubs,-23.158,5.13,100,62,4
W8904,1999,F,1987,13,WithCubs,-22.882,5.17,107,60,4
W8904,2002,F,1987,16,WithCubs,-23.226,4.39,84,60,4
W8904,2005,F,1987,19,WithCubs,-23.55,4.75,91,61,4
W8905,1995,F,1987,9,WithCubs,-22.77,4.29,85,59,4
W8905,1996,F,1987,10,SolitaryF,-22.968,4.98,90,58,6
W8906,1996,F,1981,16,WithCubs,-23.158,4.44,118,65,4
W8906,1998,F,1981,18,WithCubs,-22.964,4.82,110,66,4
W8906,2000,F,1981,20,WithCubs,-22.82,4.72,125,69,4
W8906,2002,F,1981,22,WithCubs,-23.036,4.65,97,65,4
W8906,2004,F,1981,24,WithCubs,-23.852,3.89,127,70,4
W9003,1996,F,1989,8,WithCubs,-22.838,5.03,103,59,4
W9003,1998,F,1989,10,WithCubs,-23.044,4.41,104,61,4
W9003,2000,F,1989,12,WithCubs,-23.02,5.1,112,62,4
W9006,1993,M,1989,5,SolitaryM,-22.814,5.49,NA,73,4
W9006,1995,M,1989,7,SolitaryM,-22.87,5.84,220,78.5,4
W9006,1997,M,1989,9,SolitaryM,-23.026,5.85,226,80,4
W9006,1999,M,1989,11,SolitaryM,-22.712,5.75,221,78,4
W9006,2001,M,1989,13,SolitaryM,-22.988,5.53,219,81,4
W9007,2001,F,1986,16,WithCubs,-22.968,4.25,90,62,4
W9007,2003,F,1986,18,WithCubs,-23.044,4.19,98,62,4
W9008,1995,F,1986,10,WithCubs,-23.56,3.26,95,60,4
W9008,1997,F,1986,12,WithCubs,-23.466,3.92,102,62,4
W9008,1999,F,1986,14,WithCubs,-23.362,3.92,111,61,4
W9008,2001,F,1986,16,WithCubs,-23.488,3.99,96,63,4
W9011,1999,M,1984,16,SolitaryM,-23.482,7.25,201,75,4
W9011,2001,M,1984,18,SolitaryM,-23.888,8.42,219,79,4
W9011,2004,M,1984,21,SolitaryM,-23.952,8.39,NA,78,5
W9101,1996,F,1990,7,SolitaryF,-22.908,4.66,80,55,4
W9101,1997,F,1990,8,WithCubs,-23.316,4.09,95,62,4
W9101,2000,F,1990,11,WithCubs,-22.95,4.29,93,61,4
W9101,2002,F,1990,13,WithCubs,-22.966,4.6,81,61,4
W9101,2004,F,1990,15,WithCubs,-23.502,4.46,106,64,4
W9202,1995,M,1991,5,SolitaryM,-22.58,5.37,102,62,4
W9202,1996,M,1991,6,SolitaryM,-22.818,6.6,121,64,4
W9202,1997,M,1991,7,SolitaryM,-23.046,6.19,150,71,4
W9206,1996,M,1991,6,SolitaryM,-23.438,5.37,181,72,4
W9207,1995,F,1991,5,WithCubs,-23.55,3.54,76,56,4
W9208,1992,F,1991,2,SolitaryF,-22.696,3.87,39.5,50,4
W9208,1995,F,1991,5,SolitaryF,-22.57,4.58,101,61.5,4
W9208,1996,F,1991,6,WithCubs,-22.968,5.37,99,59,4
W9301,1999,M,1989,11,SolitaryM,-23.252,6.73,234,78,4
W9301,2000,M,1989,12,SolitaryM,-23.27,6.72,215,78,4
W9301,2002,M,1989,14,SolitaryM,-22.966,5.59,209,82,4
W9301,2004,M,1989,16,SolitaryM,-23.752,4.49,79.5,82,4
W9301,2006,M,1989,18,SolitaryM,-23.278,5.57,234,83,4
W9301,2007,M,1989,19,SolitaryM,-23.216,4.87,188,79,4
W9301,2008,M,1989,20,SolitaryM,-23.234,4.82,186,79,4
W9301,2009,M,1989,21,SolitaryM,-23.012,6.18,170,78,4
W9306,1995,F,1992,4,SolitaryF,-22.73,4.36,90,58,7
W9306,1997,F,1992,6,WithCubs,-22.996,3.8,84,58,4
W9307,1995,F,1992,4,SolitaryF,-22.94,4.47,70,55,4
W9307,1996,F,1992,5,SolitaryF,-23.228,4.79,63,57,4
W9307,1999,F,1992,8,WithCubs,-23.012,4.77,89,59,4
W9307,2001,F,1992,10,WithCubs,-23.118,4.59,89,59,4
W9307,2003,F,1992,12,WithCubs,-23.684,4.48,110,65,4
W9308,1995,F,1988,8,SolitaryF,-22.7,5.17,109,63,7
W9308,1997,F,1988,10,WithCubs,-22.796,4.26,95,63,4
W9308,2002,F,1988,15,WithCubs,-22.846,4.34,101,65,4
W9308,2005,F,1988,18,WithCubs,-23.02,4.25,93,66,5
W9308,2008,F,1988,21,WithCubs,-22.924,4.08,110,70,4
W9310,1995,F,1992,4,SolitaryF,-22.94,4.68,85,59,4
W9310,1997,F,1992,6,WithCubs,-22.656,3.99,90,62,4
W9310,1999,F,1992,8,WithCubs,-23.012,3.87,100,60,4
W9310,2002,F,1992,11,WithCubs,-22.976,3.2,88,64,4
W9311,1995,M,1992,4,SolitaryM,-22.69,4.42,112,65,4
W9311,1996,M,1992,5,SolitaryM,-22.948,4.78,145,67,4
W9311,1998,M,1992,7,SolitaryM,-23.184,5.41,179,74,4
W9311,2000,M,1992,9,SolitaryM,-23.08,5.17,226,82,4
W9311,2002,M,1992,11,SolitaryM,-23.046,5.18,218,82,4
W9311,2003,M,1992,12,SolitaryM,-23.594,4.98,210,82,6
W9401,1995,M,1993,3,SolitaryM,-22.78,4.95,83,59,4
W9401,1996,M,1993,4,SolitaryM,-23.168,4.94,125,65,4
W9401,2000,M,1993,8,SolitaryM,-23.07,4.58,208,78,4
W9401,2002,M,1993,10,SolitaryM,-23.006,4.88,210,81,4
W9402,1996,F,1993,4,SolitaryF,-22.878,5.73,79,55,7
W9403,1995,F,1993,3,SolitaryF,-23.24,3.96,52,50,4
W9403,1996,F,1993,4,SolitaryF,-22.668,4.55,77,54,4
W9403,1999,F,1993,7,WithCubs,-22.742,4.89,102,58,4
W9403,2001,F,1993,9,WithCubs,-22.858,4.47,80,58,4
W9403,2003,F,1993,11,SolitaryF,-22.994,4.7,105,61.5,6
W9403,2005,F,1993,13,WithCubs,-23.36,4.41,90,62,5
W9403,2006,F,1993,14,WithCubs,-23.148,4.82,90,61,5
W9403,2008,F,1993,16,WithCubs,-23.294,4.08,92,63,4
W9403,2009,F,1993,17,WithCubs,-23.192,4.52,87,57,4
W9403,2011,F,1993,19,SolitaryF,-22.868,5.02,NA,62,5
W9403,2012,F,1993,20,WithCubs,-23.276,5.18,93,62.5,4
W9404,1995,F,1993,3,SolitaryF,-22.78,3.73,68,53,4
W9404,1996,F,1993,4,SolitaryF,-22.978,4.23,83.5,56,6
W9404,1998,F,1993,6,WithCubs,-23.064,4.05,89,57,4
W9404,2001,F,1993,9,WithCubs,-23.298,4.11,104,64,4
W9404,2003,F,1993,11,SolitaryF,-23.034,4.38,105,63,6
W9407,1995,M,1993,3,SolitaryM,-22.9,3.74,68,56,4
W9502,1999,F,1994,6,WithCubs,-22.902,4.97,104,63,4
W9502,2001,F,1994,8,WithCubs,-23.278,4.2,88,62,4
W9502,2003,F,1994,10,WithCubs,-23.574,3.85,100,64,4
W9504,1995,F,1994,2,SolitaryF,-22.91,4.52,35,46.5,5
W9504,1996,F,1994,3,SolitaryF,-22.908,4.8,76,NA,6
W9504,1999,F,1994,6,WithCubs,-22.852,4.99,82,57,4
W9505,1995,M,1988,8,SolitaryM,-23.06,5.21,189,76,4
W9505,1996,M,1988,9,SolitaryM,-23.198,5.86,NA,77,4
W9505,2001,M,1988,14,SolitaryM,-23.318,6.15,215,82,4
W9505,2003,M,1988,16,SolitaryM,-23.624,6.2,228,83,4
W9506,1996,M,1994,3,SolitaryM,-23.008,4.07,53,50,4
W9506,1998,M,1994,5,SolitaryM,-22.574,4.85,134,67,4
W9507,1995,F,1994,2,SolitaryF,-23.31,3.64,28,42,4
W9507,1996,F,1994,3,SolitaryF,-22.828,4.36,43,44,4
W9507,1997,F,1994,4,SolitaryF,-22.836,4.37,65,54,4
W9507,1998,F,1994,5,SolitaryF,-22.554,4.74,82,59,4
W9508,1995,M,1994,2,SolitaryM,-23.67,3.84,42,49,4
W9508,1996,M,1994,3,SolitaryM,-23.198,4.96,96.5,58,4
W9510,1995,M,1994,2,SolitaryM,-23.32,3.4,44,48,4
W9510,1996,M,1994,3,SolitaryM,-23.768,7.74,77,53,5
W9511,1995,F,1985,11,SolitaryF,-22.61,4.23,99,62,7
W9601,1996,F,1995,2,SolitaryF,-22.738,5.13,41,46,4
W9601,1997,F,1995,3,SolitaryF,-23.096,4.87,72,54,4
W9602,1995,F,1995,1,WithMother,-23.03,4.86,18,39,4
W9602,1996,F,1995,2,SolitaryF,-22.388,5.12,45,45,4
W9603,1995,M,1995,1,WithMother,-23.24,5.11,26.5,41,4
W9605,1996,F,1995,2,WithMother,-22.448,4.81,53,47,4
W9605,1997,F,1995,3,SolitaryF,-22.206,6.16,64,57,4
W9606,1995,F,1995,1,WithMother,-23.77,4.67,21,41,4
W9607,1995,F,1995,1,WithMother,-23.67,4.54,21,40,4
